Virus	Gene	Immediate Early	Early	Early-Late	Late	Latent
Herpes Simplex Virus 1	RL1	1	0	0	0	0
Herpes Simplex Virus 1	RL2	1	0	0	0	0
Herpes Simplex Virus 1	UL1	0	0	1	0	0
Herpes Simplex Virus 1	UL2	0	1	1	0	0
Herpes Simplex Virus 1	UL3	0	0	0	1	0
Herpes Simplex Virus 1	UL4	0	0	0	1	0
Herpes Simplex Virus 1	UL5	0	1	1	0	0
Herpes Simplex Virus 1	UL6	0	0	1	1	0
Herpes Simplex Virus 1	UL7	0	0	1	0	0
Herpes Simplex Virus 1	UL8	0	1	1	0	0
Herpes Simplex Virus 1	UL9	0	1	1	0	0
Herpes Simplex Virus 1	UL10	0	0	0	1	0
Herpes Simplex Virus 1	UL11	0	0	1	1	0
Herpes Simplex Virus 1	UL12	0	1	1	0	0
Herpes Simplex Virus 1	UL13	0	0	1	1	0
Herpes Simplex Virus 1	UL14	0	0	0	1	0
Herpes Simplex Virus 1	UL15	0	0	1	1	0
Herpes Simplex Virus 1	UL16	0	0	1	0	0
Herpes Simplex Virus 1	UL17	0	0	1	1	0
Herpes Simplex Virus 1	UL18	0	0	1	0	0
Herpes Simplex Virus 1	UL19	0	0	1	0	0
Herpes Simplex Virus 1	UL20	0	0	1	0	0
Herpes Simplex Virus 1	UL21	0	0	1	1	0
Herpes Simplex Virus 1	UL22	0	0	1	1	0
Herpes Simplex Virus 1	UL23	0	1	1	0	0
Herpes Simplex Virus 1	UL24	0	0	1	0	0
Herpes Simplex Virus 1	UL25	0	0	0	1	0
Herpes Simplex Virus 1	UL26	0	0	1	1	0
Herpes Simplex Virus 1	UL26.5	0	0	1	1	0
Herpes Simplex Virus 1	UL27	0	0	1	0	0
Herpes Simplex Virus 1	UL28	0	0	1	1	0
Herpes Simplex Virus 1	UL29	0	1	1	0	0
Herpes Simplex Virus 1	UL30	0	1	1	0	0
Herpes Simplex Virus 1	UL31	0	0	1	1	0
Herpes Simplex Virus 1	UL32	0	0	0	1	0
Herpes Simplex Virus 1	UL33	0	0	0	1	0
Herpes Simplex Virus 1	UL34	0	0	1	0	0
Herpes Simplex Virus 1	UL35	0	0	0	1	0
Herpes Simplex Virus 1	UL36	0	0	0	1	0
Herpes Simplex Virus 1	UL37	0	0	1	0	0
Herpes Simplex Virus 1	UL38	0	0	0	1	0
Herpes Simplex Virus 1	UL39	0	1	1	0	0
Herpes Simplex Virus 1	UL40	0	1	1	0	0
Herpes Simplex Virus 1	UL41	0	0	1	0	0
Herpes Simplex Virus 1	UL42	0	1	1	0	0
Herpes Simplex Virus 1	UL43	0	0	1	1	0
Herpes Simplex Virus 1	UL44	0	0	0	1	0
Herpes Simplex Virus 1	UL45	0	0	0	1	0
Herpes Simplex Virus 1	UL46	0	0	1	0	0
Herpes Simplex Virus 1	UL47	0	0	1	0	0
Herpes Simplex Virus 1	UL48	0	0	1	1	0
Herpes Simplex Virus 1	UL49	0	0	1	1	0
Herpes Simplex Virus 1	UL50	0	1	1	0	0
Herpes Simplex Virus 1	UL51	0	0	0	1	0
Herpes Simplex Virus 1	UL52	0	1	1	0	0
Herpes Simplex Virus 1	UL53	0	0	1	1	0
Herpes Simplex Virus 1	UL54	1	0	0	0	0
Herpes Simplex Virus 1	UL55	0	0	0	1	0
Herpes Simplex Virus 1	UL56	0	0	0	1	0
Herpes Simplex Virus 1	RS1	1	0	0	0	0
Herpes Simplex Virus 1	US1	1	0	0	0	0
Herpes Simplex Virus 1	US2	0	0	0	1	0
Herpes Simplex Virus 1	US3	0	0	1	0	0
Herpes Simplex Virus 1	US4	0	0	1	0	0
Herpes Simplex Virus 1	US5	0	0	1	1	0
Herpes Simplex Virus 1	US6	0	0	1	1	0
Herpes Simplex Virus 1	US7	0	0	1	0	0
Herpes Simplex Virus 1	US8	0	0	1	0	0
Herpes Simplex Virus 1	US9	0	0	1	1	0
Herpes Simplex Virus 1	US10	0	0	1	0	0
Herpes Simplex Virus 1	US11	0	0	0	1	0
Herpes Simplex Virus 1	US12	1	0	0	0	0
Herpes Simplex Virus 1	LAT	0	0	0	0	1